,_c0,order_id,add_to_cart_order,product_id,product_name,aisle_id,aisle,department_id,department,user_id,features,prediction
26,26,280,9,21137,Organic Strawberries,24,fresh fruits,4,produce,1059,"[280.0,9.0,21137.0,24.0,4.0,1059.0]",1
27,27,637,2,21137,Organic Strawberries,24,fresh fruits,4,produce,1177,"[637.0,2.0,21137.0,24.0,4.0,1177.0]",1
28,28,3449,3,21137,Organic Strawberries,24,fresh fruits,4,produce,208,"[3449.0,3.0,21137.0,24.0,4.0,208.0]",1
30,30,280,5,19057,Organic Large Extra Fancy Fuji Apple,24,fresh fruits,4,produce,1059,"[280.0,5.0,19057.0,24.0,4.0,1059.0]",1
33,33,280,28,17600,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",120,yogurt,16,dairy eggs,1059,"[280.0,28.0,17600.0,120.0,16.0,1059.0]",1
35,35,280,27,21387,Non-Fat Vanilla Yogurt,120,yogurt,16,dairy eggs,1059,"[280.0,27.0,21387.0,120.0,16.0,1059.0]",1
38,38,280,3,23102,Organic 1% Milk,84,milk,16,dairy eggs,1059,"[280.0,3.0,23102.0,84.0,16.0,1059.0]",1
39,39,280,8,22035,Organic Whole String Cheese,21,packaged cheese,16,dairy eggs,1059,"[280.0,8.0,22035.0,21.0,16.0,1059.0]",1
40,40,2445,4,22035,Organic Whole String Cheese,21,packaged cheese,16,dairy eggs,816,"[2445.0,4.0,22035.0,21.0,16.0,816.0]",1
45,45,280,20,17284,Organic Sugar Snap Peas,83,fresh vegetables,4,produce,1059,"[280.0,20.0,17284.0,83.0,4.0,1059.0]",1
54,54,280,10,17708,Organic Corn Tortillas,128,tortillas flat bread,3,bakery,1059,"[280.0,10.0,17708.0,128.0,3.0,1059.0]",1
58,58,280,14,21607,Gluten Free Vanilla Granola,57,granola,14,breakfast,1059,"[280.0,14.0,21607.0,57.0,14.0,1059.0]",1
59,59,280,11,25936,EnviroKidz Gluten Free & Wheat Free Gorilla Munch Corn Puff Cereal,121,cereal,14,breakfast,1059,"[280.0,11.0,25936.0,121.0,14.0,1059.0]",1
63,63,4890,6,22124,Total 0% Raspberry Yogurt,120,yogurt,16,dairy eggs,451,"[4890.0,6.0,22124.0,120.0,16.0,451.0]",1
66,66,4890,7,24838,Unsweetened Almondmilk,91,soy lactosefree,16,dairy eggs,451,"[4890.0,7.0,24838.0,91.0,16.0,451.0]",1
67,67,4890,1,24852,Banana,24,fresh fruits,4,produce,451,"[4890.0,1.0,24852.0,24.0,4.0,451.0]",1
68,68,2199,1,24852,Banana,24,fresh fruits,4,produce,150,"[2199.0,1.0,24852.0,24.0,4.0,150.0]",1
